"ntaxa" "mntd.obs" "mntd.rand.mean" "mntd.rand.sd" "mntd.obs.rank" "mntd.obs.z" "mntd.obs.p" "runs"
"LagodeAjo" 10 141.031402139785 222.588668890844 52.6494370360079 2 -1.54906246566854 0.02 99
"LagoBurgo" 19 284.529781554054 203.330395083402 74.6039113892555 94 1.08840655883288 0.94 99
"TurberadelPradell" 8 233.734842611111 217.528302794052 52.3794243368931 72 0.309406604257858 0.72 99
"Tramacastilla" 7 191.2111338 240.435367134007 69.0210161813965 22 -0.713177464739708 0.22 99
"IbndelasRanas" 8 140.335158132075 231.508919180675 77.7518145236176 6 -1.17262550857774 0.06 99
"LagunadeRoSeco" 14 128.121361394231 202.587693272339 50.237003592658 5 -1.48230042703007 0.05 99
"Gador" 25 157.432098304762 189.250360217124 61.465224574584 32 -0.517662826949445 0.32 99
"LagoaComprida" 48 143.08925102444 158.471752641939 26.8827816642731 30 -0.572206470654856 0.3 99
"LaPanera" 6 185.630672022222 242.482389521212 90.6813117824753 18 -0.626939734124764 0.18 99
"Serranillos" 8 162.9286245 223.805180552189 77.7031641775018 15 -0.783450155428995 0.15 99
