"ntaxa" "mpd.obs" "mpd.rand.mean" "mpd.rand.sd" "mpd.obs.rank" "mpd.obs.z" "mpd.obs.p" "runs"
"LagodeAjo" 10 245.636831749335 241.361841129884 60.7794465110626 64 0.0703361228976223 0.64 99
"LagoBurgo" 19 243.538141570489 195.023126461075 50.2643032721277 92 0.965198201331011 0.92 99
"TurberadelPradell" 8 278.448367804012 225.75144913482 65.1175009957064 89 0.809258922154684 0.89 99
"Tramacastilla" 7 256.6989346 205.978938224422 69.0141081090622 85 0.73492214512757 0.85 99
"IbndelasRanas" 8 200.852990622997 202.099171008008 59.1592126041747 58 -0.0210648575285931 0.58 99
"LagunadeRoSeco" 14 248.657145024038 259.892062899461 62.9521849422464 52 -0.17846748108472 0.52 99
"Gador" 25 302.924443150658 239.206583788983 51.0398535397035 92 1.24839424376697 0.92 99
"LagoaComprida" 48 295.120961424218 274.359065823906 47.543499334871 80 0.436692626558184 0.8 99
"LaPanera" 6 210.472845872593 150.575497109685 49.5920851457681 91 1.20780057113649 0.91 99
"Serranillos" 8 349.545990894464 170.218695204244 51.4155916141248 97 3.48779990778042 0.97 99
