"LagodeAjo " "PuertodeLeitariegos" "PuertodeSanIsidro" "LagoBurg" "Tramacastilla" "ElPortalet" "IbondelasRanas" "LagunadeRioSeco" "LagoaComprida"
"LagodeAjo " 0 267.559785941667 287.967300791667 226.474610475 238.233947375 321.377872017857 225.881852 245.263126528846 304.990689408333
"PuertodeLeitariegos" 267.559785941667 0 316.481699333333 253.2657955 289.727457644444 357.009347133333 272.164214477778 268.656358379487 327.891411133333
"PuertodeSanIsidro" 287.967300791667 316.481699333333 0 282.347942316667 291.211085555556 348.32100097619 279.254896888889 297.466585948718 342.211701611111
"LagoBurg" 226.474610475 253.2657955 282.347942316667 0 252.970780033333 323.996898214286 225.901064633333 233.337346423077 298.342467433333
"Tramacastilla" 238.233947375 289.727457644444 291.211085555556 252.970780033333 0 300.513575571429 205.196179166667 259.212699692308 322.8960922
"ElPortalet" 321.377872017857 357.009347133333 348.32100097619 323.996898214286 300.513575571429 0 301.186260023809 332.103871615385 375.39243767619
"IbondelasRanas" 225.881852 272.164214477778 279.254896888889 225.901064633333 205.196179166667 301.186260023809 0 245.666397089744 309.652425322222
"LagunadeRioSeco" 245.263126528846 268.656358379487 297.466585948718 233.337346423077 259.212699692308 332.103871615385 245.666397089744 0 312.939978692308
"LagoaComprida" 304.990689408333 327.891411133333 342.211701611111 298.342467433333 322.8960922 375.39243767619 309.652425322222 312.939978692308 0
