"LagodeAjo " "Laguillin" "LagoBurg" "LaFeixa" "IbondelasRanas" "LagunadeRioSeco" "Gador" "LagoaComprida" "PradodelasZorras"
"LagodeAjo " 0 342.467353722222 261.780937981481 243.201938166667 222.331950666667 273.403845425926 302.870620066667 262.451645174074 238.678037742424
"Laguillin" 342.467353722222 0 366.05635462963 332.361268888889 338.431425041667 366.283855296296 393.698629933333 363.482557814815 346.982861363636
"LagoBurg" 261.780937981481 366.05635462963 0 285.360256092593 270.234112638889 293.737215611111 326.145422511111 287.807075622222 265.107231585859
"LaFeixa" 243.201938166667 332.361268888889 285.360256092593 0 233.973283666667 287.577198518519 326.635396683333 286.863518837037 266.407674878788
"IbondelasRanas" 222.331950666667 338.431425041667 270.234112638889 233.973283666667 0 277.242683805556 312.70356145 274.722444947222 253.187190056818
"LagunadeRioSeco" 273.403845425926 366.283855296296 293.737215611111 287.577198518519 277.242683805556 0 328.142157672222 290.092097488889 267.234127969697
"Gador" 302.870620066667 393.698629933333 326.145422511111 326.635396683333 312.70356145 328.142157672222 0 323.572491388889 302.534959572727
"LagoaComprida" 262.451645174074 363.482557814815 287.807075622222 286.863518837037 274.722444947222 290.092097488889 323.572491388889 0 259.882477191919
"PradodelasZorras" 238.678037742424 346.982861363636 265.107231585859 266.407674878788 253.187190056818 267.234127969697 302.534959572727 259.882477191919 0
